time,xpos,ypos,xvel,yvel,object_mass,time_limit,total_energy,
1720.000000,-28987346.102118,19034867.909928,-14651.170250,996.403631,100000000000000004764729344.000000,1000000.000000,-84600370.814442,
1730.000000,-29133626.356826,19044680.192163,-14604.926907,966.105911,100000000000000004764729344.000000,1000000.000000,-84600370.814477,
1740.000000,-29279445.559163,19054191.081522,-14558.959239,936.124207,100000000000000004764729344.000000,1000000.000000,-84600370.814510,
1750.000000,-29424806.449885,19063403.712902,-14513.264056,906.453486,100000000000000004764729344.000000,1000000.000000,-84600370.814543,
1760.000000,-29569711.738093,19072321.171409,-14467.838217,877.088821,100000000000000004764729344.000000,1000000.000000,-84600370.814574,
1770.000000,-29714164.101732,19080946.493433,-14422.678631,848.025394,100000000000000004764729344.000000,1000000.000000,-84600370.814604,
1780.000000,-29858166.188086,19089282.667686,-14377.782257,819.258489,100000000000000004764729344.000000,1000000.000000,-84600370.814634,
1790.000000,-30001720.614261,19097332.636214,-14333.146101,790.783488,100000000000000004764729344.000000,1000000.000000,-84600370.814662,
1800.000000,-30144829.967659,19105099.295386,-14288.767214,762.595873,100000000000000004764729344.000000,1000000.000000,-84600370.814690,
1810.000000,-30287496.806441,19112585.496853,-14244.642698,734.691218,100000000000000004764729344.000000,1000000.000000,-84600370.814716,
1820.000000,-30429723.659985,19119794.048484,-14200.769695,707.065191,100000000000000004764729344.000000,1000000.000000,-84600370.814742,
1830.000000,-30571513.029333,19126727.715274,-14157.145393,679.713550,100000000000000004764729344.000000,1000000.000000,-84600370.814767,
1840.000000,-30712867.387625,19133389.220232,-14113.767026,652.632139,100000000000000004764729344.000000,1000000.000000,-84600370.814791,
1850.000000,-30853789.180533,19139781.245245,-14070.631866,625.816889,100000000000000004764729344.000000,1000000.000000,-84600370.814815,
1860.000000,-30994280.826681,19145906.431918,-14027.737230,599.263814,100000000000000004764729344.000000,1000000.000000,-84600370.814837,
1870.000000,-31134344.718058,19151767.382397,-13985.080475,572.969006,100000000000000004764729344.000000,1000000.000000,-84600370.814859,
1880.000000,-31273983.220425,19157366.660164,-13942.658997,546.928640,100000000000000004764729344.000000,1000000.000000,-84600370.814881,
1890.000000,-31413198.673709,19162706.790815,-13900.470234,521.138964,100000000000000004764729344.000000,1000000.000000,-84600370.814901,
1900.000000,-31551993.392399,19167790.262825,-13858.511661,495.596305,100000000000000004764729344.000000,1000000.000000,-84600370.814921,
1910.000000,-31690369.665923,19172619.528281,-13816.780790,470.297059,100000000000000004764729344.000000,1000000.000000,-84600370.814941,
1920.000000,-31828329.759029,19177197.003608,-13775.275172,445.237696,100000000000000004764729344.000000,1000000.000000,-84600370.814960,
1930.000000,-31965875.912149,19181525.070267,-13733.992393,420.414755,100000000000000004764729344.000000,1000000.000000,-84600370.814978,
1940.000000,-32103010.341763,19185606.075449,-13692.930077,395.824841,100000000000000004764729344.000000,1000000.000000,-84600370.814996,
1950.000000,-32239735.240754,19189442.332736,-13652.085881,371.464626,100000000000000004764729344.000000,1000000.000000,-84600370.815013,
1960.000000,-32376052.778755,19193036.122759,-13611.457497,347.330849,100000000000000004764729344.000000,1000000.000000,-84600370.815030,
1970.000000,-32511965.102492,19196389.693832,-13571.042652,323.420308,100000000000000004764729344.000000,1000000.000000,-84600370.815046,
1980.000000,-32647474.336121,19199505.262574,-13530.839105,299.729865,100000000000000004764729344.000000,1000000.000000,-84600370.815061,
1990.000000,-32782582.581552,19202385.014518,-13490.844648,276.256440,100000000000000004764729344.000000,1000000.000000,-84600370.815077,
2000.000000,-32917291.918780,19205031.104697,-13451.057104,252.997013,100000000000000004764729344.000000,1000000.000000,-84600370.815092,
2010.000000,-33051604.406194,19207445.658227,-13411.474330,229.948621,100000000000000004764729344.000000,1000000.000000,-84600370.815106,
2020.000000,-33185522.080895,19209630.770869,-13372.094212,207.108356,100000000000000004764729344.000000,1000000.000000,-84600370.815120,
2030.000000,-33319046.959000,19211588.509580,-13332.914666,184.473364,100000000000000004764729344.000000,1000000.000000,-84600370.815134,
2040.000000,-33452181.035941,19213320.913047,-13293.933639,162.040845,100000000000000004764729344.000000,1000000.000000,-84600370.815147,
2050.000000,-33584926.286761,19214829.992219,-13255.149107,139.808051,100000000000000004764729344.000000,1000000.000000,-84600370.815160,
2060.000000,-33717284.666403,19216117.730814,-13216.559073,117.772284,100000000000000004764729344.000000,1000000.000000,-84600370.815172,
2070.000000,-33849258.109997,19217186.085821,-13178.161571,95.930896,100000000000000004764729344.000000,1000000.000000,-84600370.815184,
2080.000000,-33980848.533134,19218036.987991,-13139.954661,74.281287,100000000000000004764729344.000000,1000000.000000,-84600370.815196,
2090.000000,-34112057.832146,19218672.342314,-13101.936430,52.820905,100000000000000004764729344.000000,1000000.000000,-84600370.815207,
2100.000000,-34242887.884371,19219094.028486,-13064.104992,31.547243,100000000000000004764729344.000000,1000000.000000,-84600370.815219,
2110.000000,-34373340.548421,19219303.901365,-13026.458487,10.457840,100000000000000004764729344.000000,1000000.000000,-84600370.815229,
2120.000000,-34503417.664440,19219303.791418,-12988.995082,-10.449721,100000000000000004764729344.000000,1000000.000000,-84600370.815240,
2130.000000,-34633121.054360,19219095.505156,-12951.712968,-31.177815,100000000000000004764729344.000000,1000000.000000,-84600370.815250,
2140.000000,-34762452.522151,19218680.825562,-12914.610361,-51.728773,100000000000000004764729344.000000,1000000.000000,-84600370.815260,
2150.000000,-34891413.854069,19218061.512508,-12877.685502,-72.104886,100000000000000004764729344.000000,1000000.000000,-84600370.815270,
2160.000000,-35020006.818898,19217239.303157,-12840.936656,-92.308404,100000000000000004764729344.000000,1000000.000000,-84600370.815279,
2170.000000,-35148233.168186,19216215.912368,-12804.362111,-112.341538,100000000000000004764729344.000000,1000000.000000,-84600370.815289,
2180.000000,-35276094.636483,19214993.033085,-12767.960178,-132.206462,100000000000000004764729344.000000,1000000.000000,-84600370.815298,
2190.000000,-35403592.941566,19213572.336713,-12731.729192,-151.905309,100000000000000004764729344.000000,1000000.000000,-84600370.815306,
2200.000000,-35530729.784667,19211955.473496,-12695.667510,-171.440178,100000000000000004764729344.000000,1000000.000000,-84600370.815315,
